"filepath","label","split"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_012.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_013.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_014.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_015.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_016.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_017.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_018.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_019.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_020.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_021.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_022.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_023.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_024.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_025.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_026.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_027.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_028.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_029.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_030.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_031.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_032.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_033.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_034.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_035.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_036.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_037.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_038.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_039.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_040.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_041.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_042.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_043.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_044.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Golden-Delicious\Golden-Delicious_045.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_001.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_002.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_003.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_004.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_005.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_006.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_007.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_008.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_009.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_010.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_011.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_012.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_013.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_014.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_015.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_016.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_017.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_018.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_019.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_020.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_021.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_022.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_023.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_024.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_025.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_026.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_027.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_028.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_029.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_030.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_031.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_032.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_033.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_034.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_035.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_036.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_037.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_038.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_039.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_040.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_041.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_042.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_043.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_044.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_045.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_046.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_047.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_048.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_049.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_050.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_051.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_052.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_053.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_054.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_055.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_056.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_057.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_058.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Granny-Smith\Granny-Smith_059.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_001.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_002.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_003.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_004.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_005.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_006.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_007.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_008.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_009.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_010.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_011.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_012.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_013.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_014.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_015.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_016.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_017.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_018.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_019.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_020.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_021.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_022.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_023.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_024.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_025.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_026.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_027.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_028.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_029.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_030.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_031.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_032.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_033.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_034.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_035.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_036.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_037.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_038.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_039.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_040.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_041.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_042.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_043.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_044.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_045.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_046.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_047.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_048.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_049.jpg","apple","train"
"C:\USS\Repositorios Github\Deep Learning\DeepNeuralNetworkUSS-1\Projects\Supermarket\data\train\Fruit_Apple_Pink-Lady\Pink-Lady_050.jpg","apple","train"
