SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
0,0.09860954,48,0,0.26446281,3750.0,5,0,1,0,0.0
1,0.68350984,52,0,0.792630677,3500.0,20,0,2,0,2.0
1,0.0,52,0,3642.0,5443.0,12,0,3,0,0.0
1,0.717767132,63,2,0.099902057,1020.0,4,0,0,0,0.0
0,0.000830184,67,0,3613.0,5443.0,25,0,2,0,0.0
0,0.290981046,60,1,0.330452466,5900.0,12,0,1,0,0.0
1,0.9999999,35,0,0.042898792,2400.0,1,2,0,0,0.0
1,0.474034621,36,2,698.0,5443.0,6,0,1,2,0.0
0,0.0,75,0,0.143215241,5983.0,3,0,1,0,0.0
1,0.066923791,50,0,0.460769464,3300.0,5,0,2,0,1.0
0,0.832714924,26,0,0.147500874,5721.0,7,0,0,0,0.0
1,0.9999999,50,0,0.0,3320.0,0,0,0,0,1.0
1,0.9999999,44,0,0.0,5216.0,1,7,0,0,0.0
1,0.922155689,59,2,1967.0,5443.0,5,2,1,1,0.0
0,0.716294329,34,0,0.189787758,3250.0,6,0,0,0,0.0
0,0.210228413,54,0,0.149595687,8161.0,6,0,0,0,0.0
1,0.9999999,46,3,1667.0,5443.0,10,1,0,0,3.0
1,0.910738771,51,3,0.447592068,6000.0,13,0,0,0,0.0
0,0.439580435,54,0,2967.0,5443.0,9,0,4,0,0.0
0,0.416340839,49,0,0.535391924,4209.0,8,0,0,2,3.0
0,0.9999999,32,0,0.142433967,4050.0,1,0,0,0,1.0
0,0.00927071,59,0,0.712902218,3200.0,16,0,1,0,0.0
1,0.644071186,49,1,0.926122108,3586.0,3,3,1,0,1.0
1,0.89871612,37,2,632.0,5443.0,4,1,0,0,0.0
0,0.9999999,24,0,0.0,200.0,0,0,0,0,0.0
0,0.298771024,48,0,0.101415776,3460.0,4,0,0,0,0.0
0,0.021828846,82,0,0.020578148,2040.0,7,0,0,0,0.0
1,1.014780038,58,2,0.267247536,7000.0,9,0,0,0,2.0
0,0.176494275,62,0,1106.0,5443.0,6,0,1,0,0.0
1,0.9999999,39,1,0.440984999,3532.0,3,3,1,0,0.0
1,1.774542674,53,0,0.406259374,10000.0,13,0,3,0,4.0
1,0.0,30,0,1.167455061,1056.0,4,0,0,0,1.0
0,0.070216218,51,0,0.22894385,2991.0,8,0,1,0,0.0
0,0.005573588,80,0,5.0,5443.0,3,1,0,0,0.0
0,0.010824521,62,0,1644.0,5443.0,11,0,1,0,0.0
0,0.005720664,61,0,1050.0,5443.0,4,0,1,0,0.0
0,0.048625334,66,0,4715.0,5443.0,7,0,2,0,0.0
0,0.030437708,66,0,0.207976891,9000.0,12,0,1,0,0.0
0,0.077239959,78,0,0.275562788,3686.0,5,0,1,0,0.0
0,0.032608969,74,0,0.106966925,5683.0,8,0,1,0,0.0
0,0.9999999,48,0,0.223208416,6083.0,4,0,2,0,0.0
1,1.067104903,33,1,0.235031664,6947.0,9,0,0,4,2.0
1,1.031076582,26,0,0.01874099,2080.0,5,0,0,0,0.0
1,0.355137753,44,4,335.0,5443.0,17,0,0,1,0.0
1,0.109103029,28,2,0.087598191,4200.0,7,0,0,1,0.0
0,0.109878119,57,0,0.801732756,3000.0,21,0,1,0,0.0
1,0.049761737,27,0,0.217188062,2780.0,7,0,0,0,0.0
0,0.0,54,0,0.101579684,5000.0,5,0,0,0,1.0
0,0.743558727,45,1,0.152570481,6029.0,5,0,0,0,0.0
1,0.228794617,39,0,1.808530112,5462.0,25,0,12,0,2.0
1,0.895956295,42,1,2356.0,5443.0,9,0,0,0,0.0
1,0.386406043,51,0,0.597476791,4200.0,10,0,1,0,3.0
1,0.688101697,40,1,0.340296053,12159.0,16,0,2,1,2.0
1,0.891435034,47,0,2131.0,5443.0,17,0,2,0,0.0
1,0.550426345,79,0,0.005168436,10834.0,2,1,0,0,0.0
1,0.074066791,72,0,0.441414572,2346.0,17,0,1,0,0.0
1,0.245727556,84,0,0.220926358,3000.0,8,0,0,0,1.0
1,0.197698037,27,1,0.442951713,5135.0,11,0,2,0,1.0
0,0.0,39,0,0.362727597,2800.0,6,0,1,0,0.0
0,0.018025006,71,0,58.0,5443.0,4,0,0,0,0.0
0,0.9999999,39,0,2070.0,5443.0,4,0,1,0,0.0
0,0.005114146,75,0,0.00088879,9000.0,10,0,0,0,1.0
0,0.019419855,65,0,6672.0,5443.0,15,0,3,0,2.0
1,0.34706665,46,0,0.25394921,5000.0,8,0,0,0,0.0
0,0.051788432,65,0,0.362773824,7166.0,16,0,2,0,0.0
1,0.61282342,63,0,0.073719284,2400.0,8,0,0,0,0.0
1,0.002567394,59,2,0.000768935,2600.0,5,1,0,0,0.0
0,0.366508899,53,0,0.172479467,8400.0,6,0,0,0,0.0
0,0.0,47,0,2290.0,5443.0,5,0,1,0,0.0
0,0.0,24,0,0.0,5443.0,1,0,0,0,0.0
1,0.9999999,54,1,476.0,5443.0,1,5,0,0,0.0
1,0.9999999,31,0,503.0,5443.0,4,7,0,7,0.0
1,1.133796699,47,1,804.0,5443.0,4,0,0,0,1.0
1,0.842572062,49,1,0.646370726,3333.0,5,0,1,0,2.0
1,0.091960849,64,0,0.38958037,5623.0,18,0,2,0,2.0
1,0.300506213,39,0,0.371559633,6539.0,13,0,2,0,6.0
0,0.000222217,64,0,0.168226542,4166.0,7,0,1,0,0.0
0,0.190183371,59,0,0.051549828,9000.0,6,0,0,0,0.0
1,0.418581419,26,0,0.145963509,4000.0,4,1,0,0,0.0
1,1.158218126,70,2,0.382465544,2611.0,6,0,0,1,0.0
0,0.724754571,53,0,0.22875817,2600.0,8,0,0,0,3.0
1,0.434871335,48,0,0.341430499,3704.0,7,0,1,0,1.0
1,0.9999999,27,1,0.38969118,4500.0,6,1,1,1,1.0
1,0.889196676,35,0,0.050824863,6000.0,2,1,0,0,0.0
1,0.777508091,45,2,1700.0,5443.0,5,4,1,1,0.0
1,0.060934008,27,0,0.18137675,3500.0,6,0,0,1,0.0
1,0.883851802,67,1,0.870560379,3800.0,15,0,2,0,1.0
0,0.000938723,46,0,0.589585275,8583.0,23,0,2,0,0.0
1,1.001143511,63,3,1.018883643,3600.0,10,2,1,1,1.0
0,0.706041994,35,0,0.352658936,2500.0,7,0,0,0,1.0
1,0.9999999,30,0,0.0,2900.0,3,0,0,0,1.0
1,0.460941641,35,0,0.856028794,3333.0,6,0,2,0,2.0
0,0.350050389,68,1,0.581225771,10833.0,24,0,1,0,1.0
0,0.169880861,46,0,0.189084575,5166.0,11,0,1,0,2.0
0,0.529855437,44,0,0.096546152,9901.0,5,0,0,0,7.0
1,0.029038646,74,0,0.692714951,9443.0,14,0,4,0,0.0
0,0.106206648,32,1,0.306026104,3600.0,9,0,1,0,0.0
1,0.873125721,34,0,177.0,5443.0,6,0,0,0,0.0
1,0.886697983,50,0,0.590842167,6791.0,13,0,2,0,4.0
0,0.961115912,48,0,0.747000522,3833.0,7,0,1,0,0.0
0,0.002533164,36,0,486.5,1.0,4,0,1,0,0.0
1,0.96872285,46,1,0.316534777,2400.0,6,0,0,0,2.0
0,0.726364015,40,4,0.16133807,3377.0,3,0,0,0,1.0
1,0.0,33,0,0.078867381,6250.0,3,1,0,0,3.0
0,0.249783067,31,0,0.537154282,3000.0,10,0,1,0,0.0
0,0.665629493,37,0,0.371004691,9166.0,9,0,2,0,2.0
1,1.777408638,29,0,0.003332639,4800.0,1,0,0,1,2.0
1,1.198880299,37,2,0.478664524,5600.0,6,3,1,3,3.0
0,0.00843739,60,0,0.307564996,14500.0,14,0,3,0,2.0
0,0.038170468,60,0,0.327638421,17500.0,13,0,2,0,0.0
0,0.019393461,50,0,0.165245869,40000.0,15,0,1,0,3.0
1,0.840629305,44,0,1.504998889,4500.0,11,0,2,0,2.0
0,0.077595238,61,0,0.200799201,1000.0,14,0,0,0,0.0
1,0.917870722,44,0,0.316667424,22000.0,18,0,2,0,1.0
0,0.249166799,53,0,289.0,5443.0,3,1,0,0,0.0
1,3383.0,31,0,0.096225944,4000.0,3,0,0,0,0.0
0,0.003935772,54,0,0.256087728,6200.0,15,0,1,0,0.0
1,0.9999999,48,0,0.968507873,4000.0,11,0,2,0,0.0
0,0.63604947,45,0,0.446197061,13883.0,10,0,3,0,3.0
0,0.146500714,91,0,0.010052657,2088.0,1,0,0,0,0.0
0,0.640860956,35,0,0.544636953,7560.0,17,0,1,0,2.0
0,0.202527107,67,1,0.420815017,8416.0,12,0,2,1,0.0
0,0.025782776,63,0,0.393407636,4216.0,6,0,1,0,0.0
0,0.041642898,65,0,0.050782087,9333.0,2,0,0,0,0.0
0,0.014193243,44,0,2262.0,5443.0,9,0,2,0,0.0
1,0.965370004,60,2,0.970451011,4500.0,15,0,3,1,1.0
1,0.9999999,40,1,0.02349979,2382.0,0,1,0,0,2.0
0,0.008781488,31,0,0.157280906,3000.0,4,0,0,0,1.0
0,0.058968204,46,0,0.356206416,3584.0,7,0,1,0,2.0
0,0.034150741,49,0,0.370836942,12700.0,6,0,2,0,1.0
1,0.032784395,54,0,0.55790247,10888.0,12,0,3,0,1.0
1,0.536070308,51,1,0.269421957,7040.0,5,5,0,0,1.0
0,0.9999999,44,0,0.335776149,1500.0,0,0,0,0,2.0
1,0.623845566,29,0,0.24515097,5000.0,7,0,0,1,1.0
0,0.040454831,53,0,1496.0,5443.0,7,0,1,0,0.0
0,0.02328996,40,1,0.131829807,4300.0,8,0,0,0,3.0
0,0.639593909,67,2,918.0,5443.0,7,0,0,2,0.0
1,1.00179964,38,3,2.934065934,1000.0,7,0,2,1,1.0
0,0.030053803,33,0,0.416793358,8550.0,8,0,2,0,0.0
0,0.012238197,33,0,0.630123292,3000.0,7,0,1,0,0.0
1,0.023198103,33,0,0.398042075,4800.0,5,0,1,0,1.0
1,0.174728159,46,0,98.0,5443.0,1,1,0,0,0.0
0,0.02195458,87,0,14.0,5443.0,2,0,0,0,0.0
1,0.9999999,30,0,27.0,5443.0,1,0,0,0,0.0
0,0.477398189,59,0,0.16247438,16100.0,9,0,3,0,1.0
0,0.938169982,61,0,0.543135495,7800.0,7,0,2,0,0.0
1,0.100908656,41,0,0.448555144,10000.0,10,0,3,1,0.0
0,0.05559861,75,0,81.0,5443.0,3,0,0,0,0.0
0,0.26285444,53,0,4928.0,5443.0,6,0,1,0,3.0
0,0.0,44,0,0.014496376,4000.0,3,0,0,0,3.0
0,0.188925916,50,0,0.175929628,2500.0,5,0,0,0,3.0
1,0.273012729,51,0,0.435100548,5469.0,10,1,1,1,0.0
1,0.965473384,41,6,0.845593487,7000.0,17,0,4,1,2.0
1,1.71536069,35,0,0.824530817,9750.0,16,0,2,0,2.0
0,0.0,48,0,0.57107662,4058.0,5,0,1,0,1.0
0,0.153382031,47,0,0.097657929,9307.0,13,0,0,0,4.0
1,0.573796369,36,0,0.322923173,1600.0,8,0,0,1,2.0
1,1.00535523,30,2,0.523880044,2700.0,5,0,0,2,5.0
0,0.022842689,86,0,0.00679864,5000.0,6,0,0,0,0.0
1,0.9999999,30,0,0.0,2120.0,0,0,0,0,2.0
